DEBUG:2023-01-04 19:06:15,947:La configuration du logger est terminée
DEBUG:2023-01-04 19:06:16,203:La fenetre principale a bien été crée
DEBUG:2023-01-04 19:06:16,378:Lecture du fichier de résolution
DEBUG:2023-01-04 19:06:16,379:modification du fichier de résolution
DEBUG:2023-01-04 19:06:16,380:Lecture du fichier de configuration du niveau
DEBUG:2023-01-04 19:06:16,381:Affichage du niveau
DEBUG:2023-01-04 19:06:16,384:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-04 19:06:16,384:Vérification des conditions de blocage
WARNING:2023-01-04 19:06:21,234:Enregistrement du fichier de résolution
WARNING:2023-01-04 19:06:21,243:Si un enregistrement était nécéssaire, il a bien eu lieu
INFO:2023-01-04 19:06:21,244:Fin du jeu
DEBUG:2023-01-14 17:30:06,476:La configuration du logger est terminée
DEBUG:2023-01-14 17:30:07,120:La fenetre principale a bien été crée
DEBUG:2023-01-14 17:30:07,172:Lecture du fichier de résolution
DEBUG:2023-01-14 17:30:07,179:modification du fichier de résolution
DEBUG:2023-01-14 17:30:07,180:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:07,187:Affichage du niveau
DEBUG:2023-01-14 17:30:07,189:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:07,189:Vérification des conditions de blocage
WARNING:2023-01-14 17:30:09,916:Avancée au niveau suppérieur
DEBUG:2023-01-14 17:30:09,916:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:09,925:Affichage du niveau
DEBUG:2023-01-14 17:30:09,925:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:09,926:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:09,926:modification du fichier de résolution
WARNING:2023-01-14 17:30:10,417:Avancée au niveau suppérieur
DEBUG:2023-01-14 17:30:10,418:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:10,428:Affichage du niveau
DEBUG:2023-01-14 17:30:10,429:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:10,429:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:10,430:modification du fichier de résolution
WARNING:2023-01-14 17:30:10,842:Avancée au niveau suppérieur
DEBUG:2023-01-14 17:30:10,843:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:10,850:Affichage du niveau
DEBUG:2023-01-14 17:30:10,850:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:10,850:Vérification des conditions de blocage
DEBUG:2023-01-14 17:30:10,850:modification du fichier de résolution
WARNING:2023-01-14 17:30:11,163:Avancée au niveau suppérieur
DEBUG:2023-01-14 17:30:11,164:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:30:11,170:Affichage du niveau
DEBUG:2023-01-14 17:30:11,170:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:30:11,170:Vérification des conditions de blocage
